Time,Open,High,Low,Close,Volume,
2018-11-14 16:00:00, 6063.69, 6090.21, 5560, 5681, 9662.67975784,
2018-11-14 17:00:00, 5680.99, 5741.17, 5532.76, 5696.53, 4921.10811146,
2018-11-14 18:00:00, 5696.53, 5744.99, 5555, 5585, 1944.72063878,
2018-11-14 19:00:00, 5585, 5670, 5374.64, 5525.5, 3626.34800466,
2018-11-14 20:00:00, 5523.96, 5525.99, 5280.93, 5417.8, 2931.03449104,
2018-11-14 21:00:00, 5428.02, 5620, 5385.01, 5551.02, 2065.32070133,
2018-11-14 22:00:00, 5551.01, 5551.02, 5490, 5508.19, 1010.50664132,
2018-11-14 23:00:00, 5508.19, 5615.38, 5508, 5605.46, 1416.68186542,
2018-11-15 00:00:00, 5605.01, 5645, 5566.91, 5583.71, 1081.8525298,
2018-11-15 01:00:00, 5583.7, 5606.72, 5556.57, 5587.39, 1357.64457301,
2018-11-15 02:00:00, 5587.4, 5589.98, 5490.61, 5528.82, 1277.34013474,
2018-11-15 03:00:00, 5528.83, 5574.4, 5526.63, 5558.42, 1298.66971436,
2018-11-15 04:00:00, 5557.02, 5557.7, 5470.75, 5543.25, 767.7218893,
2018-11-15 05:00:00, 5543.25, 5565.54, 5528.23, 5560.76, 550.6229734,
2018-11-15 06:00:00, 5560.75, 5565, 5506.43, 5531.52, 313.91178122,
2018-11-15 07:00:00, 5531.53, 5578.32, 5531.52, 5562.63, 190.98303709,
2018-11-15 08:00:00, 5562.63, 5583.03, 5531, 5536.23, 237.68934236,
2018-11-15 09:00:00, 5536.23, 5567, 5533.24, 5558.72, 277.74366597,
2018-11-15 10:00:00, 5558.72, 5565.83, 5349.01, 5393.08, 1674.78412127,
2018-11-15 11:00:00, 5393.08, 5434.45, 5349.79, 5407.27, 651.15130118,
2018-11-15 12:00:00, 5407.28, 5447.61, 5378.04, 5392.83, 677.47568791,
2018-11-15 13:00:00, 5392.84, 5415, 5382.72, 5399, 602.98290794,
2018-11-15 14:00:00, 5399, 5399, 5201.01, 5205.06, 1922.06372383,
2018-11-15 15:00:00, 5205.06, 5506.71, 5188, 5460.26, 2935.89649309,
2018-11-15 16:00:00, 5460.26, 5498.55, 5351.87, 5459.29, 1382.24342194,
2018-11-15 17:00:00, 5458.96, 5560.48, 5453.46, 5498.86, 1073.26122253,
2018-11-15 18:00:00, 5498.86, 5530, 5470.01, 5515, 602.34891221,
2018-11-15 19:00:00, 5515, 5550, 5489.28, 5539.17, 586.70441614,
2018-11-15 20:00:00, 5539.17, 5543.76, 5475.01, 5480.73, 564.10658653,
2018-11-15 21:00:00, 5480.72, 5480.73, 5413.11, 5469.59, 602.05720776,
2018-11-15 22:00:00, 5469.59, 5507.81, 5429.35, 5493.85, 605.82733411,
2018-11-15 23:00:00, 5493.85, 5587.25, 5483.24, 5579.52, 658.67293858,
2018-11-16 00:00:00, 5579.5, 5609.91, 5529.92, 5552.82, 699.6632609,
2018-11-16 01:00:00, 5551.98, 5553.73, 5516.63, 5533.26, 369.10880558,
2018-11-16 02:00:00, 5530.75, 5566, 5527.16, 5553.8, 307.48741791,
2018-11-16 03:00:00, 5553.79, 5580, 5547.55, 5573.01, 505.54525968,
2018-11-16 04:00:00, 5573, 5573.01, 5540, 5547.64, 346.43131907,
2018-11-16 05:00:00, 5548.72, 5560, 5529.62, 5530.38, 305.61399253,
2018-11-16 06:00:00, 5530.38, 5550.78, 5521.93, 5545.01, 304.44368885,
2018-11-16 07:00:00, 5545, 5556.18, 5505.51, 5510.62, 265.90693538,
2018-11-16 08:00:00, 5510.61, 5533.04, 5501.01, 5530.5, 281.35470418,
2018-11-16 09:00:00, 5530.5, 5530.52, 5470.15, 5499.87, 483.83002091,
2018-11-16 10:00:00, 5499.86, 5561.37, 5485.23, 5558.24, 560.11111051,
2018-11-16 11:00:00, 5558.24, 5571.88, 5541.36, 5542.07, 186.99649009,
2018-11-16 12:00:00, 5542.07, 5542.07, 5522.69, 5529.17, 166.27417322,
2018-11-16 13:00:00, 5529.16, 5570, 5525.06, 5553.01, 166.07287486,
2018-11-16 14:00:00, 5553, 5565, 5547.35, 5554.01, 214.32405516,
2018-11-16 15:00:00, 5554, 5554.01, 5531, 5535.88, 267.35262859,
2018-11-16 16:00:00, 5535.87, 5557, 5531.75, 5549.4, 544.36300518,
2018-11-16 17:00:00, 5549.4, 5557.58, 5535, 5535, 322.20256914,
2018-11-16 18:00:00, 5535.01, 5535.01, 5525.52, 5535, 325.09724018,
2018-11-16 19:00:00, 5535, 5535, 5500, 5504.75, 474.56570067,
2018-11-16 20:00:00, 5504.74, 5514.26, 5484.76, 5508.99, 503.98913357,
2018-11-16 21:00:00, 5508.99, 5509, 5436.59, 5453.44, 721.06248874,
2018-11-16 22:00:00, 5453.44, 5465, 5410, 5430.99, 541.3008264,
2018-11-16 23:00:00, 5431, 5525.32, 5420.92, 5512.24, 496.72511541,
2018-11-17 00:00:00, 5512.26, 5512.29, 5485.57, 5488.8, 215.13590526,
2018-11-17 01:00:00, 5488.8, 5499.99, 5481, 5488.73, 223.13779215,
2018-11-17 02:00:00, 5488.59, 5489.58, 5457.97, 5479.9, 407.79442563,
2018-11-17 03:00:00, 5479.9, 5482.02, 5461.25, 5465.95, 217.81545235,
2018-11-17 04:00:00, 5465.95, 5479.99, 5450.83, 5472.79, 288.83548587,
2018-11-17 05:00:00, 5471.26, 5476, 5455.51, 5466, 346.88803834,
2018-11-17 06:00:00, 5465.99, 5477.27, 5460.11, 5472.17, 137.94799976,
2018-11-17 07:00:00, 5472.17, 5505.24, 5462.6, 5505.24, 169.27631279,
2018-11-17 08:00:00, 5505.24, 5505.24, 5478, 5487.91, 69.05801101,
2018-11-17 09:00:00, 5487.92, 5495.29, 5482.9, 5486.13, 52.832937,
2018-11-17 10:00:00, 5486.13, 5488.88, 5461.77, 5467.05, 67.51075011,
2018-11-17 11:00:00, 5467.06, 5503.44, 5467, 5495.9, 191.57772475,
2018-11-17 12:00:00, 5495.91, 5495.91, 5477.67, 5486, 141.79278612,
2018-11-17 13:00:00, 5485.99, 5505.19, 5479.8, 5494.55, 111.74996514,
2018-11-17 14:00:00, 5494.55, 5494.55, 5469.7, 5490.01, 133.00833113,
2018-11-17 15:00:00, 5490.01, 5494.11, 5480.61, 5482.09, 128.51472458,
2018-11-17 16:00:00, 5481.96, 5544, 5478.7, 5535.57, 394.07766047,
2018-11-17 17:00:00, 5535.57, 5535.57, 5481.1, 5484, 279.96085101,
2018-11-17 18:00:00, 5484, 5493.59, 5475, 5488, 251.46400188,
2018-11-17 19:00:00, 5488, 5497.86, 5487.99, 5497.25, 141.24435171,
