Unix,Date,Symbol,Open,High,Low,Close,Volume ALGO,Volume USDT,tradecount
1607299200000,2020-12-07,ALGOUSDT,0.3369,0.3442,0.3236,0.3311,20254090.33,6734097.085659,21577
1607212800000,2020-12-06,ALGOUSDT,0.3432,0.3494,0.3271,0.3367,24083904.71,8113758.517138,29935
1607126400000,2020-12-05,ALGOUSDT,0.3257,0.3527,0.3162,0.3431,26599588.73,8988617.503956,33100
1607040000000,2020-12-04,ALGOUSDT,0.3401,0.3737,0.3214,0.3257,47873173.08,16919920.328791,62701
1606953600000,2020-12-03,ALGOUSDT,0.341,0.3576,0.3381,0.3404,28234603.46,9817091.29058,32487
1606867200000,2020-12-02,ALGOUSDT,0.3079,0.3493,0.2975,0.3411,38449398.71,12436267.88202,42236
1606780800000,2020-12-01,ALGOUSDT,0.3289,0.3471,0.3024,0.3082,35626910.76,11526805.350697,44782
1606694400000,2020-11-30,ALGOUSDT,0.3173,0.335,0.3125,0.3289,31232698.92,10166046.599906,37325
1606608000000,2020-11-29,ALGOUSDT,0.3125,0.3242,0.3007,0.3171,18128909.23,5698948.80339,22882
1606521600000,2020-11-28,ALGOUSDT,0.3004,0.3244,0.2951,0.3127,20237530.86,6303511.708214,26145
1606435200000,2020-11-27,ALGOUSDT,0.3016,0.3168,0.2848,0.3002,20541733.74,6151093.886474,30429
1606348800000,2020-11-26,ALGOUSDT,0.3422,0.358,0.2733,0.3016,71915821.47,22154942.654763,97517
1606262400000,2020-11-25,ALGOUSDT,0.3576,0.4212,0.3295,0.3429,65351773.4,24839048.997167,112533
1606176000000,2020-11-24,ALGOUSDT,0.3356,0.3756,0.3268,0.3576,65761097.98,23229465.842583,97640
1606089600000,2020-11-23,ALGOUSDT,0.2981,0.3418,0.2932,0.3357,44706039.22,14263761.601552,55268
1606003200000,2020-11-22,ALGOUSDT,0.3171,0.3242,0.2796,0.298,39945707.85,11953330.763657,51868
1605916800000,2020-11-21,ALGOUSDT,0.2845,0.3254,0.2839,0.317,48436505.07,14784338.460062,56823
1605830400000,2020-11-20,ALGOUSDT,0.2654,0.289,0.2639,0.2846,25423223.14,7103013.053435,28608
1605744000000,2020-11-19,ALGOUSDT,0.2672,0.2719,0.2544,0.2653,14953618.33,3946015.163222,17902
1605657600000,2020-11-18,ALGOUSDT,0.2744,0.2788,0.2535,0.2673,22084649.71,5853937.47278,26892
1605571200000,2020-11-17,ALGOUSDT,0.2714,0.2794,0.268,0.2744,19629855.98,5371532.694015,26078
1605484800000,2020-11-16,ALGOUSDT,0.2567,0.2735,0.254,0.2711,18230590.43,4835587.585693,22263
1605398400000,2020-11-15,ALGOUSDT,0.266,0.2726,0.2494,0.2569,17612850.27,4644695.584586,24017
1605312000000,2020-11-14,ALGOUSDT,0.2802,0.2806,0.262,0.2661,16348137.88,4403850.192659,20714
1605225600000,2020-11-13,ALGOUSDT,0.2666,0.2822,0.2627,0.2802,16391729.81,4487846.345726,20633
1605139200000,2020-11-12,ALGOUSDT,0.2783,0.2786,0.2601,0.2665,14027584.73,3768819.596369,17535
1605052800000,2020-11-11,ALGOUSDT,0.289,0.295,0.2768,0.2785,14987180.12,4264903.047903,19258
1604966400000,2020-11-10,ALGOUSDT,0.2605,0.2932,0.2563,0.2889,24106565.33,6641848.450945,28542
1604880000000,2020-11-09,ALGOUSDT,0.2666,0.2731,0.2531,0.2605,16059375.73,4229863.92284,19854
1604793600000,2020-11-08,ALGOUSDT,0.2579,0.2763,0.2537,0.2667,14785428.18,3930272.686247,17958
1604707200000,2020-11-07,ALGOUSDT,0.2765,0.2976,0.2418,0.2579,44333765.73,11993838.1211,53735
1604620800000,2020-11-06,ALGOUSDT,0.2481,0.282,0.2478,0.2767,20724585.84,5523106.999166,30994
1604534400000,2020-11-05,ALGOUSDT,0.239,0.2548,0.2337,0.2481,16524009.56,4046212.112487,23078
1604448000000,2020-11-04,ALGOUSDT,0.2337,0.2445,0.2224,0.2383,12283704.63,2863631.369878,14796
1604361600000,2020-11-03,ALGOUSDT,0.2469,0.2469,0.2256,0.2337,13042140.95,3045895.099461,15473
1604275200000,2020-11-02,ALGOUSDT,0.2591,0.2625,0.2432,0.247,10011488.91,2531012.775656,12667
1604188800000,2020-11-01,ALGOUSDT,0.2486,0.2618,0.2446,0.2589,7243676.38,1826507.146606,8914
1604102400000,2020-10-31,ALGOUSDT,0.254,0.2645,0.2482,0.2488,10786455.79,2784802.166565,13310
1604016000000,2020-10-30,ALGOUSDT,0.2571,0.26,0.2359,0.2539,26240866.11,6507155.653245,28313
1603929600000,2020-10-29,ALGOUSDT,0.2762,0.2848,0.2538,0.2569,17715554.45,4757451.001863,20064
1603843200000,2020-10-28,ALGOUSDT,0.288,0.2923,0.2675,0.2763,18723048.58,5235592.013916,23687
1603756800000,2020-10-27,ALGOUSDT,0.2907,0.3004,0.2833,0.2878,13998741.41,4086129.835942,17638
1603670400000,2020-10-26,ALGOUSDT,0.3021,0.3066,0.2843,0.2907,10757723.78,3172382.561174,15588
1603584000000,2020-10-25,ALGOUSDT,0.3078,0.312,0.297,0.3021,6729181.48,2046184.56244,10987
1603497600000,2020-10-24,ALGOUSDT,0.3093,0.3134,0.3034,0.3078,6783453.07,2097919.592018,11503
1603411200000,2020-10-23,ALGOUSDT,0.316,0.3243,0.3014,0.3093,10325801.3,3234980.178503,15992
1603324800000,2020-10-22,ALGOUSDT,0.301,0.3254,0.3007,0.316,13302195.09,4199199.635168,19594
1603238400000,2020-10-21,ALGOUSDT,0.2866,0.3125,0.2849,0.3012,13959693.27,4235562.480675,19050
1603152000000,2020-10-20,ALGOUSDT,0.3033,0.3038,0.2813,0.2866,12082365.42,3545140.14094,16397
1603065600000,2020-10-19,ALGOUSDT,0.3156,0.3174,0.3008,0.3033,7698432.35,2385128.954217,13200
1602979200000,2020-10-18,ALGOUSDT,0.3132,0.317,0.3086,0.3155,6126642.34,1916730.292187,11074
1602892800000,2020-10-17,ALGOUSDT,0.3002,0.3181,0.299,0.3136,10483930.52,3269276.669266,15776
1602806400000,2020-10-16,ALGOUSDT,0.3147,0.317,0.295,0.3001,13483175.37,4085738.104918,18504
1602720000000,2020-10-15,ALGOUSDT,0.3277,0.3336,0.3059,0.3148,14872788.8,4731423.923089,26068
1602633600000,2020-10-14,ALGOUSDT,0.343,0.348,0.3198,0.3277,17668680.49,5886036.698619,25918
1602547200000,2020-10-13,ALGOUSDT,0.3441,0.3564,0.3321,0.3428,16938873.32,5825068.012772,26525
1602460800000,2020-10-12,ALGOUSDT,0.332,0.3628,0.3284,0.3445,29932435.06,10433219.071313,41715
1602374400000,2020-10-11,ALGOUSDT,0.3265,0.3385,0.3162,0.3319,14564321.78,4744065.034523,20971
1602288000000,2020-10-10,ALGOUSDT,0.3285,0.3399,0.3189,0.3262,16736093.02,5499745.733728,22818
1602201600000,2020-10-09,ALGOUSDT,0.3088,0.3325,0.3003,0.3286,14980970.59,4753325.144717,21740
1602115200000,2020-10-08,ALGOUSDT,0.3062,0.315,0.2883,0.3087,19453086.22,5872095.94668,25196
1602028800000,2020-10-07,ALGOUSDT,0.2862,0.3109,0.2767,0.3063,16857253.39,4980873.782606,22388
1601942400000,2020-10-06,ALGOUSDT,0.3184,0.3213,0.2813,0.2859,14774349.44,4392078.677978,19272
1601856000000,2020-10-05,ALGOUSDT,0.3122,0.3222,0.3076,0.3184,7125619.11,2246121.127089,11627
1601769600000,2020-10-04,ALGOUSDT,0.315,0.3206,0.3051,0.312,8196271.93,2562851.876952,11413
1601683200000,2020-10-03,ALGOUSDT,0.3158,0.3293,0.3124,0.3154,8990099.34,2888163.879209,13221
1601596800000,2020-10-02,ALGOUSDT,0.3344,0.3401,0.2912,0.3158,25098571.43,7864664.910918,34111
1601510400000,2020-10-01,ALGOUSDT,0.347,0.375,0.3244,0.335,24855325.32,8715157.437023,36642
1601424000000,2020-09-30,ALGOUSDT,0.3392,0.3559,0.3196,0.3469,19805838.28,6713477.255487,26680
1601337600000,2020-09-29,ALGOUSDT,0.3267,0.3437,0.3182,0.3392,19838177.58,6593760.071136,26572
1601251200000,2020-09-28,ALGOUSDT,0.3205,0.3502,0.3189,0.327,19576643.62,6550862.72216,27610
1601164800000,2020-09-27,ALGOUSDT,0.3249,0.3277,0.3029,0.3209,11393944.84,3599530.446744,16852
1601078400000,2020-09-26,ALGOUSDT,0.3175,0.3419,0.3135,0.3253,17346342.07,5703566.039816,24295
1600992000000,2020-09-25,ALGOUSDT,0.2941,0.3278,0.288,0.3174,20945388.02,6396204.885382,24844
