Unix,Date,Symbol,Open,High,Low,Close,Volume 1INCH,Volume USDT,tradecount
1679702400000,2023-03-25,1INCHUSDT,0.507,0.51,0.494,0.5,3090649.8,1547518.8941,8300
1679616000000,2023-03-24,1INCHUSDT,0.521,0.523,0.498,0.506,3941115.8,2006591.5009,9955
1679529600000,2023-03-23,1INCHUSDT,0.507,0.558,0.502,0.521,7764165.3,4009764.884,18381
1679443200000,2023-03-22,1INCHUSDT,0.537,0.537,0.493,0.507,7015206.8,3617642.205,19270
1679356800000,2023-03-21,1INCHUSDT,0.523,0.537,0.501,0.536,6659211.1,3459998.7779,17573
1679270400000,2023-03-20,1INCHUSDT,0.552,0.552,0.516,0.523,8495536.5,4532231.8425,21566
1679184000000,2023-03-19,1INCHUSDT,0.521,0.586,0.52,0.551,19939101.2,11058264.118,43814
1679097600000,2023-03-18,1INCHUSDT,0.528,0.544,0.512,0.52,7836479.7,4172686.6169,20149
1679011200000,2023-03-17,1INCHUSDT,0.493,0.53,0.486,0.529,7177370.9,3631046.0228,20044
1678924800000,2023-03-16,1INCHUSDT,0.489,0.512,0.483,0.493,15342109.2,7593729.3665,25298
1678838400000,2023-03-15,1INCHUSDT,0.527,0.536,0.481,0.488,7616607.9,3848157.2527,19622
1678752000000,2023-03-14,1INCHUSDT,0.5,0.538,0.489,0.526,9529668.5,4896159.15,22660
1678665600000,2023-03-13,1INCHUSDT,0.474,0.503,0.462,0.5,6464215.2,3125588.7078,16408
1678579200000,2023-03-12,1INCHUSDT,0.438,0.476,0.428,0.474,3165974.5,1412956.2934,9113
1678492800000,2023-03-11,1INCHUSDT,0.446,0.456,0.422,0.438,4762754.6,2074994.1538,11675
1678406400000,2023-03-10,1INCHUSDT,0.439,0.449,0.41,0.446,5399885.4,2328938.8715,12764
1678320000000,2023-03-09,1INCHUSDT,0.472,0.485,0.43,0.438,4494467.1,2063209.8746,12637
1678233600000,2023-03-08,1INCHUSDT,0.509,0.51,0.467,0.472,3278824.6,1605454.7077,9016
1678147200000,2023-03-07,1INCHUSDT,0.525,0.528,0.494,0.508,4128472.5,2101077.7596,9322
1678060800000,2023-03-06,1INCHUSDT,0.513,0.531,0.512,0.526,6713732.8,3512765.2479,12611
1677974400000,2023-03-05,1INCHUSDT,0.517,0.529,0.51,0.514,2478608.4,1288082.1104,6598
1677888000000,2023-03-04,1INCHUSDT,0.528,0.532,0.499,0.517,2728288.8,1403352.861,7365
1677801600000,2023-03-03,1INCHUSDT,0.566,0.566,0.504,0.528,7826149.0,4089306.8739,18576
1677715200000,2023-03-02,1INCHUSDT,0.588,0.59,0.551,0.565,3821266.3,2152926.2638,10319
1677628800000,2023-03-01,1INCHUSDT,0.571,0.6,0.567,0.588,5467238.9,3222529.1156,13309
1677542400000,2023-02-28,1INCHUSDT,0.579,0.587,0.565,0.571,3600863.7,2070963.9211,10736
1677456000000,2023-02-27,1INCHUSDT,0.583,0.59,0.563,0.579,9325409.9,5380159.235,17537
1677369600000,2023-02-26,1INCHUSDT,0.581,0.597,0.569,0.583,6220454.5,3610753.4269,15088
1677283200000,2023-02-25,1INCHUSDT,0.601,0.602,0.564,0.581,3963003.9,2319573.8575,12124
1677196800000,2023-02-24,1INCHUSDT,0.619,0.626,0.583,0.6,10486885.6,6313924.5033,22116
1677110400000,2023-02-23,1INCHUSDT,0.642,0.644,0.608,0.619,8747238.1,5494935.4368,23170
1677024000000,2023-02-22,1INCHUSDT,0.687,0.687,0.628,0.642,19081890.5,12368600.4989,41249
1676937600000,2023-02-21,1INCHUSDT,0.612,0.697,0.602,0.687,42867498.3,28028630.3604,94727
1676851200000,2023-02-20,1INCHUSDT,0.575,0.617,0.562,0.613,12358598.2,7390492.3452,28167
1676764800000,2023-02-19,1INCHUSDT,0.575,0.601,0.565,0.575,11872098.6,6908110.6371,24080
1676678400000,2023-02-18,1INCHUSDT,0.567,0.582,0.562,0.575,6219887.4,3570882.92,14386
1676592000000,2023-02-17,1INCHUSDT,0.542,0.572,0.538,0.568,10994883.1,6134604.4904,20594
1676505600000,2023-02-16,1INCHUSDT,0.568,0.572,0.541,0.541,10577752.6,5907254.7931,20994
1676419200000,2023-02-15,1INCHUSDT,0.54,0.569,0.533,0.568,11378709.9,6261454.8494,20632
1676332800000,2023-02-14,1INCHUSDT,0.531,0.543,0.523,0.541,6744073.1,3604202.5666,14944
1676246400000,2023-02-13,1INCHUSDT,0.533,0.538,0.512,0.53,11731346.4,6170650.2255,20893
