Unix,Date,Symbol,Open,High,Low,Close,Volume FTM,Volume USDT,tradecount
1632009600000,2021-09-19,FTMUSDT,1.3305,1.4926,1.2817,1.4579,219917194.0,306476847.9607,445189
1631923200000,2021-09-18,FTMUSDT,1.2484,1.4314,1.224,1.3306,179208014.0,242056485.0623,351734
1631836800000,2021-09-17,FTMUSDT,1.3076,1.3987,1.2297,1.2487,173287916.0,225740715.9049,334659
1631750400000,2021-09-16,FTMUSDT,1.4406,1.4776,1.248,1.3073,237392108.0,324075413.4734,456145
1631664000000,2021-09-15,FTMUSDT,1.2047,1.524,1.191,1.4417,387843083.0,544171130.4264,733888
1631577600000,2021-09-14,FTMUSDT,1.3049,1.3299,1.1335,1.205,268725891.0,331625438.7579,469211
1631491200000,2021-09-13,FTMUSDT,1.4421,1.4541,1.2181,1.3045,249143899.0,327153453.2453,476547
1631404800000,2021-09-12,FTMUSDT,1.5465,1.557,1.3821,1.4422,189543840.0,281733182.0135,367314
1631318400000,2021-09-11,FTMUSDT,1.4948,1.693,1.4351,1.5466,282640139.0,442240236.0575,625537
1631232000000,2021-09-10,FTMUSDT,1.6588,1.7679,1.419,1.4939,330466024.0,517965675.8243,733260
1631145600000,2021-09-09,FTMUSDT,1.5616,1.94,1.518,1.6583,657875998.8,1167327429.636034,1527016
1631059200000,2021-09-08,FTMUSDT,1.405,1.6788,1.2532,1.5602,713409381.0,1034267310.0874,1440101
1630972800000,2021-09-07,FTMUSDT,1.3925,1.8499,1.1266,1.405,1093745837.0,1712976650.832603,2387503
1630886400000,2021-09-06,FTMUSDT,1.215,1.48,1.1837,1.3931,465595375.8,622046821.524994,1060610
1630800000000,2021-09-05,FTMUSDT,1.0616,1.2742,1.012,1.2156,400793053.4,469641597.844704,739204
1630713600000,2021-09-04,FTMUSDT,0.9753,1.1904,0.9661,1.0616,495997501.4,536205812.590414,849130
1630627200000,2021-09-03,FTMUSDT,0.8489,0.9837,0.8135,0.975,339578953.4,302291305.483139,512718
1630540800000,2021-09-02,FTMUSDT,0.8708,0.932,0.8111,0.8489,356511032.0,307095134.6689,497398
1630454400000,2021-09-01,FTMUSDT,0.7196,0.9675,0.6947,0.8709,555894614.9,472841285.706518,834025
1630368000000,2021-08-31,FTMUSDT,0.7985,0.8876,0.6871,0.72,465332986.0,370796568.7442,651042
1630281600000,2021-08-30,FTMUSDT,0.5856,0.906,0.5831,0.7986,989208763.7,760573227.480874,1359264
1630195200000,2021-08-29,FTMUSDT,0.523,0.5872,0.4944,0.5856,121381016.8,64657239.65807,128434
1630108800000,2021-08-28,FTMUSDT,0.4921,0.5339,0.4678,0.5231,107134269.1,53649619.689143,112940
1630022400000,2021-08-27,FTMUSDT,0.4331,0.495,0.4161,0.492,123146808.3,55919668.002292,115779
1629936000000,2021-08-26,FTMUSDT,0.49773,0.51746,0.43,0.4333,150582426.8,68795004.596264,138717
1629849600000,2021-08-25,FTMUSDT,0.4814,0.52033,0.4625,0.49773,121790946.8,59945142.052769,114020
1629763200000,2021-08-24,FTMUSDT,0.5512,0.55813,0.46259,0.4814,145542754.7,74605487.818446,158981
1629676800000,2021-08-23,FTMUSDT,0.5558,0.58928,0.53331,0.55123,115070932.5,64497042.193696,126067
1629590400000,2021-08-22,FTMUSDT,0.57353,0.598,0.52725,0.55539,150277881.3,84190712.472657,171327
1629504000000,2021-08-21,FTMUSDT,0.49193,0.578,0.47482,0.57322,223328210.4,117220162.123729,255190
1629417600000,2021-08-20,FTMUSDT,0.50758,0.5442,0.48393,0.49215,210259649.9,107646401.841581,221966
1629331200000,2021-08-19,FTMUSDT,0.41446,0.50815,0.4134,0.50756,344924066.0,160708633.917862,342520
1629244800000,2021-08-18,FTMUSDT,0.39122,0.45166,0.36601,0.41398,267236936.7,110446296.660312,245121
1629158400000,2021-08-17,FTMUSDT,0.39509,0.46587,0.37622,0.39152,289586855.0,123289339.42031,281405
1629072000000,2021-08-16,FTMUSDT,0.34718,0.42967,0.34697,0.39508,271634561.9,106736589.649091,242966
1628985600000,2021-08-15,FTMUSDT,0.3379,0.35,0.3205,0.34693,76679585.7,25581626.975397,60714
1628899200000,2021-08-14,FTMUSDT,0.34443,0.35545,0.32501,0.33798,86016762.7,29076416.779001,69367
1628812800000,2021-08-13,FTMUSDT,0.30791,0.35149,0.30392,0.34449,99810559.0,33620960.380718,80662
1628726400000,2021-08-12,FTMUSDT,0.32003,0.33975,0.29009,0.30809,113576359.1,35245049.280861,85913
1628640000000,2021-08-11,FTMUSDT,0.29684,0.33957,0.2952,0.32002,131809786.0,41988154.863085,121014
1628553600000,2021-08-10,FTMUSDT,0.2788,0.30388,0.27362,0.29657,106756625.0,30988651.410173,85220
1628467200000,2021-08-09,FTMUSDT,0.26726,0.28994,0.25687,0.27865,96775590.2,26705486.648157,68323
1628380800000,2021-08-08,FTMUSDT,0.28629,0.3,0.26035,0.26702,114709284.6,32317964.267742,81709
1628294400000,2021-08-07,FTMUSDT,0.27985,0.2964,0.2677,0.2863,102459502.0,28986847.267099,76552
1628208000000,2021-08-06,FTMUSDT,0.25993,0.2872,0.2589,0.27936,127108954.9,34629329.401237,89581
1628121600000,2021-08-05,FTMUSDT,0.24555,0.26,0.23112,0.26,79135753.5,19376119.524569,51986
1628035200000,2021-08-04,FTMUSDT,0.23834,0.25152,0.22982,0.24548,66751512.7,16059227.061587,45155
1627948800000,2021-08-03,FTMUSDT,0.25097,0.25873,0.23359,0.23835,55490970.0,13488329.211381,41820
1627862400000,2021-08-02,FTMUSDT,0.24568,0.25479,0.23795,0.25079,73317606.1,18073910.826858,52504
1627776000000,2021-08-01,FTMUSDT,0.25605,0.26754,0.24203,0.24569,97920572.2,25318634.909515,73204
1627689600000,2021-07-31,FTMUSDT,0.25353,0.25998,0.2442,0.25626,74241328.8,18789691.230835,50856
1627603200000,2021-07-30,FTMUSDT,0.24972,0.258,0.22832,0.25365,102336074.2,24801124.79494,66785
1627516800000,2021-07-29,FTMUSDT,0.22765,0.2554,0.2231,0.24948,156931003.5,38337141.885227,97888
1627430400000,2021-07-28,FTMUSDT,0.22424,0.22965,0.21555,0.22738,93648901.2,20895366.869217,57159
1627344000000,2021-07-27,FTMUSDT,0.20913,0.2351,0.2,0.22396,122667419.8,26704622.292851,71064
1627257600000,2021-07-26,FTMUSDT,0.19792,0.24195,0.1955,0.20937,180222949.3,40074806.269619,111146
1627171200000,2021-07-25,FTMUSDT,0.19468,0.19813,0.18609,0.19795,54817938.8,10508847.985441,32167
1627084800000,2021-07-24,FTMUSDT,0.19144,0.20208,0.18935,0.1947,68627412.9,13330994.378859,41687
1626998400000,2021-07-23,FTMUSDT,0.18569,0.19342,0.1789,0.19128,62541713.7,11647177.234135,34018
1626912000000,2021-07-22,FTMUSDT,0.17702,0.18974,0.17177,0.18559,77452875.7,14030648.071357,40822
1626825600000,2021-07-21,FTMUSDT,0.16007,0.18482,0.15593,0.17709,94265099.9,16452726.808383,43895
1626739200000,2021-07-20,FTMUSDT,0.17047,0.17661,0.153,0.15999,89854866.2,14429870.172654,45318
1626652800000,2021-07-19,FTMUSDT,0.19016,0.19149,0.16812,0.17048,60780094.0,10799340.13848,31101
1626566400000,2021-07-18,FTMUSDT,0.19627,0.20292,0.18737,0.1901,38898714.3,7554487.797206,21529
1626480000000,2021-07-17,FTMUSDT,0.19347,0.19805,0.18825,0.19632,45109464.4,8682753.333359,23645
1626393600000,2021-07-16,FTMUSDT,0.21165,0.21584,0.19336,0.19351,46875851.0,9509320.101902,28527
1626307200000,2021-07-15,FTMUSDT,0.21954,0.2233,0.20277,0.21164,54551598.5,11501784.334954,30208
1626220800000,2021-07-14,FTMUSDT,0.22291,0.22432,0.20612,0.21952,51934661.6,11191904.173169,31022
1626134400000,2021-07-13,FTMUSDT,0.22362,0.23843,0.2161,0.22275,57436977.2,12893116.241606,35921
1626048000000,2021-07-12,FTMUSDT,0.23173,0.239,0.21809,0.2237,54399947.3,12470111.314743,31391
1625961600000,2021-07-11,FTMUSDT,0.22606,0.23679,0.22035,0.23193,47190557.6,10860903.854569,29697
1625875200000,2021-07-10,FTMUSDT,0.23426,0.2417,0.22137,0.22605,48390087.1,11130635.055909,30815
1625788800000,2021-07-09,FTMUSDT,0.23835,0.24112,0.22398,0.23424,68787228.5,15985593.363161,45914
1625702400000,2021-07-08,FTMUSDT,0.25815,0.26009,0.23115,0.23835,102677161.9,24998431.607798,66664
1625616000000,2021-07-07,FTMUSDT,0.2496,0.2777,0.24533,0.25834,123578530.8,32747629.483515,79419
1625529600000,2021-07-06,FTMUSDT,0.22991,0.2549,0.22921,0.24946,91341114.0,22395278.359055,57658
1625443200000,2021-07-05,FTMUSDT,0.24266,0.24489,0.22478,0.22962,87336812.8,20425482.556294,49164
1625356800000,2021-07-04,FTMUSDT,0.23456,0.259,0.227,0.24257,78796622.9,18990697.720812,47035
1625270400000,2021-07-03,FTMUSDT,0.22733,0.2398,0.22469,0.23447,57092230.5,13294167.974341,35586
1625184000000,2021-07-02,FTMUSDT,0.22125,0.23115,0.21446,0.22702,85514430.9,18939186.419584,46023
1625097600000,2021-07-01,FTMUSDT,0.24125,0.2428,0.2185,0.22144,121733288.9,27613997.517141,63286
1625011200000,2021-06-30,FTMUSDT,0.23522,0.24193,0.21311,0.24121,133788610.1,30228977.530076,74153
1624924800000,2021-06-29,FTMUSDT,0.22558,0.25015,0.22458,0.2358,119228678.0,28423483.856586,71158
1624838400000,2021-06-28,FTMUSDT,0.21815,0.23294,0.21503,0.22533,115085492.9,25818873.852416,65513
1624752000000,2021-06-27,FTMUSDT,0.21258,0.21819,0.20061,0.21818,102268803.7,21291902.527502,53202
